Id,SalePrice
1461,128113.84973804708
1462,160936.893546537
1463,181449.21153156215
1464,193448.75705491743
1465,187771.71313142526
1466,178498.8008428347
1467,184704.77603669188
1468,171636.3525724779
1469,187335.2897064976
1470,125502.20892541426
1471,201199.72232982545
1472,92676.72058257526
1473,96713.29766536526
1474,149278.07623076453
1475,115571.73345339758
1476,353574.74890386383
1477,248574.22016994614
1478,294407.1418738095
1479,265500.514568623
1480,454134.7695049395
1481,339129.3844300838
1482,205264.00807047114
1483,175779.80862821118
1484,168335.62968529956
1485,177114.94698535555
1486,193140.48873673068
1487,352780.2576132257
1488,233882.03668307868
1489,199401.4762981097
1490,205345.38574651052
1491,189249.5922039669
1492,95425.38323155387
1493,184354.23492172212
1494,283120.98569900333
1495,282253.13571898785
1496,232599.08220890755
1497,181028.60561579323
1498,159920.17274172863
1499,159450.72698811747
1500,164295.97629662606
1501,175240.4512996564
1502,152416.4809318556
1503,304974.9131991601
1504,231357.27241948817
1505,212616.58388732976
1506,197523.25651199085
1507,231262.79226379158
1508,209751.35886098904
1509,162433.41941445824
1510,141116.94180919733
1511,139793.75346575212
1512,164101.32275944026
1513,140731.9670016958
1514,170668.01590513226
1515,202793.35565132115
1516,159324.13594741482
1517,166013.85826389166
1518,125420.37667602024
1519,220756.0057678778
1520,136448.98683790464
1521,136165.41107312587
1522,160172.30179619617
1523,113746.56799132243
1524,119927.96383109584
1525,129223.2158590028
1526,125614.07122428558
1527,107105.68192419098
1528,139313.68453650002
1529,146289.3200011391
1530,178077.9287748485
1531,119841.26135314978
1532,108081.74869184353
1533,143838.74152755924
1534,119628.77348546803
1535,152075.1244908646
1536,117691.74481448389
1537,77772.07478065393
1538,154911.65341175089
1539,199613.73038302516
1540,107407.91389646968
1541,141801.50602375704
1542,141932.67744202286
1543,221884.9439530152
1544,89447.5790145011
1545,116693.44979105482
1546,128723.78169415977
1547,129978.40345731995
1548,135575.36232497805
1549,113413.98434037308
1550,137288.96235030927
1551,120045.90759823257
1552,127070.45006054365
1553,160586.65753132888
1554,114016.63516179007
1555,179393.20532078005
1556,83400.16142271606
1557,111898.57313348133
1558,91828.0976326813
1559,102390.22775669469
1560,138672.98409576734
1561,164665.0162954454
1562,132760.56951512906
1563,123143.41129371287
1564,152228.73141665847
1565,145533.16816603276
1566,242612.17647929615
1567,74088.58932036659
1568,224839.8619655433
1569,140903.72178941636
1570,135732.65851509033
1571,118461.74377454314
1572,142374.59699324792
1573,252590.64241818446
1574,118038.15994540273
1575,204320.97048467823
1576,245165.55061381895
1577,194522.9546495883
1578,145297.86569029815
1579,148326.1200028706
1580,189649.72624167975
1581,148223.62903778593
1582,133184.66624902267
1583,344024.4625218377
1584,235765.16367297518
1585,143910.07973848347
1586,65849.87697342856
1587,105319.17663665111
1588,150380.10684062174
1589,97564.7486185292
1590,135404.41742660882
1591,102971.2506035752
1592,134907.6883025852
1593,126523.43108725865
1594,133054.52368293644
1595,111731.96093308061
1596,250732.28456329354
1597,175314.67998681628
1598,188366.33171890336
1599,156457.95938547823
1600,167412.01375829836
1601,66973.36992547839
1602,113881.22946848303
1603,98164.38192875928
1604,284346.7946145425
1605,240865.5463736143
1606,171544.31354561428
1607,160215.88608122268
1608,211258.18539942396
1609,183417.82609933475
1610,155541.67599568662
1611,148138.45510817633
1612,175511.68536656178
1613,172125.6750743538
1614,123247.95722490198
1615,90038.10037905033
1616,75248.56101728279
1617,89939.44723625197
1618,127618.1109869764
1619,140972.89855652224
1620,154995.8256137218
1621,141816.26118219033
1622,144325.7865066198
1623,299978.2431463386
1624,219902.89501027964
1625,125443.03839374665
1626,160780.32548345203
1627,185579.08797155597
1628,262353.1624741635
1629,174584.73151245544
1630,384345.6526955387
1631,210048.21460248312
1632,237531.6750075258
1633,171701.23942303818
1634,191340.84016367697
1635,179732.20664105096
1636,160938.49328056062
1637,185625.69790554358
1638,199312.18159510085
1639,186958.76888872747
1640,256452.7444704937
1641,167868.62869296726
1642,225869.6589607965
1643,211627.78719644895
1644,226576.22049186856
1645,200682.3399993505
1646,156620.04499829377
1647,152816.69327196357
1648,133328.25784154757
1649,140010.36028683174
1650,116524.28826001947
1651,121919.14329221584
1652,98177.62446967557
1653,107847.4278066384
1654,151185.4541093808
1655,135675.10333683388
1656,146775.76841308703
1657,153338.25995884804
1658,151268.66427029602
1659,126034.98056448257
1660,149475.0493894609
1661,488582.23484661424
1662,378132.2663215584
1663,374315.43527143565
1664,468639.6347178027
1665,301588.3868060402
1666,327978.20652429695
1667,370834.9595546276
1668,340228.86696415656
1669,306338.296151116
1670,338831.43330277863
1671,262176.6440118826
1672,432777.5035415479
1673,288971.40296582825
1674,248119.68321049158
1675,190503.57909466443
1676,197197.77163181966
1677,220900.3142319869
1678,456295.5330119408
1679,410230.37221535324
1680,330739.4567987253
1681,240935.611426161
1682,300726.9947252615
1683,182947.82521820898
1684,172267.76854890824
1685,173638.9581064704
1686,168747.94820708994
1687,170013.98790292424
1688,187249.7813542633
1689,188356.25907205697
1690,184486.41960947114
1691,175744.22069098658
1692,248408.85407283733
1693,170603.34825767213
1694,183252.23229076294
1695,167810.46950810179
1696,269388.02138893696
1697,173025.90744764844
1698,374748.3808305269
1699,311745.1566673247
1700,241126.124772673
1701,268673.6676401446
1702,256026.98870301765
1703,254333.1951275278
1704,289949.30096834054
1705,218334.9859030949
1706,461975.8471891957
1707,215318.13183779997
1708,216402.92842536807
1709,260198.7936779916
1710,214465.24335246484
1711,244744.66835867078
1712,255886.94452926272
1713,261079.33948091048
